clust_logFCS,clust_logFCS_TA_predict_m3
3.5540621,
3.7332067,
3.9850221,
3.7665348,
3.554704,
3.4760025,
3.6983113,
3.805851,
3.6468427,
3.7420008,
3.6542695,
3.766036,
3.3910422,
3.6823475,
3.6856997,
3.57076,
3.8276875,
4.056335,
4.1141901,
3.7509558,
3.9544127,
3.4640996,
3.8305004,
3.7226665,
3.9133904,
3.4325225,
3.802505,
3.6186366,
3.6536345,
3.4416749,
3.4244187,
3.5672846,
3.6617692,
3.4894772,
3.4249651,
3.5588963,
3.7201955,
3.6980464,
3.4935284,
3.6852272,
3.8726916,
3.5647881,
3.8937764,
3.3334043,
3.8579462,
3.7823746,
3.7619298,
3.9067309,
3.7413042,
3.8115263,
3.839591,
3.6871529,
3.8193817,
3.7284017,
3.9368215,
3.8563216,
3.7820923,
3.6836264,
3.8792534,
3.8400826,
3.6248128,
4.3169565,
4.2006311,
3.9713252,
4.0461884,
3.7326937,
3.5054748,
3.7245102,
3.9703393,
3.9364552,
3.8559587,
3.5456903,
3.6619463,
3.704314,
3.7455125,
3.4850519,
3.4516289,
3.4481368,
3.2967541,
3.2722914,
3.6061001,
3.6639082,
3.3864024,
3.5404189,
4.18255,
4.2349601,
4.0369554,
4.2844186,
4.0324888,
3.65784,
3.6628113,
3.6166155,
3.7167592,
3.9779768,
4.0904088,
4.0289674,
4.2181172,
3.7554007,
4.1256561,
3.8348374,
3.9546492,
3.8015575,
4.0848298,
3.7162127,
4.0767078,
3.5852256,
3.7627351,
3.701839,
3.5386479,
3.788347,
3.7062473,
3.5213099,
3.5698223,
3.6737037,
3.62292,
3.616626,
3.9699903,
3.8303213,
3.7882185,
3.7973876,
3.8179433,
3.8651857,
3.8863692,
4.1694241,
3.8921223,
3.8542202,
3.8879838,
3.6120152,
3.2304444,
3.8760862,
3.4643002,
3.3043599,
3.543061,
3.6000934,
3.6763461,
3.6048086,
3.6323504,
3.817692,
3.6286831,
3.724772,
4.1392479,
4.1679049,
4.3113737,
3.7114613,
3.8299809,
4.1082406,
4.0477428,
4.0865431,
4.0662169,
3.9320543,
4.0154376,
3.8445613,
3.9404006,
3.9798586,
3.9027607,
3.970458,
3.8313727,
3.9452944,
3.7614202,
3.7989631,
3.8709469,
3.8241651,
3.5996671,
3.7343082,
3.7596066,
3.4802935,
3.8151169,
4.0927024,
3.9596508,
