case_id,clust_num,clust,district,reside,hhsize,TA,month,year,dist_road,dist_admarc,dist_agmrkt,popdensity,fsrad3_agpct,elevation,srtm_mwi_5_15,nutri_avail,nutri_retention,LAT_DD_MOD,LON_DD_MOD,RCSI,HDDS,FCS,Refrigerator,Radio,Television,Bicycle,Motorcycle,Car,cells_own,cell_cost,hh_age,hh_gender,LT_15,GT_64,floor_cement,floor_dirt_sand_dung,floor_tile,roof_natural,roof_iron,roof_other,region,cell_phone,fnid,yearmo,flood_maxprecip,L12day1rain,L12maxdays,L12rain_cytot,ipczone_thinn,ipczone_lag_thinn,ipczone_price,ipczone_lag_price,ipc2,ipc_lag1,ipc_lag12,near_mkt,near_dist,mkt_thinness,Lmkt_thinn,price,lnprice_impu,Lprice,Llnprice_impu,case_id_num,percent_ag,asset_index2,logFCS,roof,nutri_reten1,nutri_reten2,nutri_reten3,nutri_reten4,nutri_reten5,nutri_avail1,nutri_avail2,nutri_avail3,nutri_avail4,nutri_avail5,nutri_reten_constrained,nutri_avail_constrained,ipczone,ipczone_floodmax,ipczone_floor,ipczone_roof,ipczone_cell,ipczone_hhsize,ipczone_hh_age,ipczone_hh_gender,ipczone_asset,ipczone_dist_road,ipczone_dist_admarc,ipczone_percent_ag,ipczone_nutri_reten_constrained,ipczone_nutri_avail_constrained,ipczone_elevation,ipczone_cells_own,TA_floodmax,TA_floor,TA_roof,TA_cell,TA_hhsize,TA_hh_age,TA_hh_gender,TA_asset,TA_dist_road,TA_dist_admarc,TA_percent_ag,TA_nutri_reten_constrained,TA_nutri_avail_constrained,TA_elevation,TA_cells_own,clust_floodmax,clust_floor,clust_roof,clust_cell,clust_hhsize,clust_hh_age,clust_hh_gender,clust_asset,clust_dist_road,clust_dist_admarc,clust_percent_ag,clust_nutri_reten_constrained,clust_nutri_avail_constrained,clust_elevation,clust_cells_own,TA_lag_price,TA_lag_thinn,TA_price,TA_thinn,clust_lag_price,clust_lag_thinn,clust_price,clust_thinn,ipczone_L12raincytot,ipczone_L12day1rain,ipczone_L12maxdays,clust_L12raincytot,clust_L12day1rain,clust_L12maxdays,TA_L12raincytot,TA_L12day1rain,TA_L12maxdays,clust_logFCS,clust_RCSI,clust_HDDS,ipc_lag1_dummy1,ipc_lag1_dummy2,ipc_lag1_dummy3
0059-001,10101016,10101016,Chitipa,rural,3,1,APRIL,2013,0,14,18,50-100,51,1310,High-altitude Plains,Moderate Constraint,Moderate Constraint,-9.809979999999999,33.3873,20,3,24,0,0,0,0,0,0,0,,66,2,2,1,0,1,0,1,0,0,1,0,MW2012C3010102,201304,0,53,30,1249.4037,.25,.094553851,4.6063919,4.8074918,1,1,1,MISUKU,15.961705,.25,0,90.370003,4.5039124,106.15,4.6648531,0059-001,0,-.30081591,3.1780539,0,0,1,0,0,0,0,1,0,0,0,1,1,MW2012C3010102,0,.79347825,.27173913,.35869566,5.75,45.010868,1.1847826,-.18263285,4.673913,7.271739,.069565222,.5,.65217394,1327.174,.61956519,2.7327812,.76383764,.37453875,.42250922,5.119926,44.123844,1.2717191,-.1871393,9.6162357,9.5313654,.059040591,.2804428,.32472324,834.92621,.62546128,0,.9375,.0625,.25,6.1875,47.9375,1.25,-.30081639,2.25,12.6875,.075000003,.5,1,1296.25,.25,4.5680475,.36564311,4.5824924,.39028731,4.6648531,0,4.5039124,.25,1249.4037,53,30,897.3952,57,20,918.86896,53.638378,24.123617,3.6660154,12.3125,4.6875,1,0,0
0135-001,10202514,10202514,Karonga,rural,8,2,APRIL,2013,3,9,33,200-300,25,490,Mid-altitude Plains,No or Slight Constraint,No or Slight Constraint,-9.68146,33.8498,0,5,30.5,0,1,0,0,0,0,0,,35,1,5,0,0,1,0,1,0,0,1,0,MW2012C3010210,201304,0,32,25,1500.7496,.25,0,4.359848,5.0551453,1,1,1,KARONGA,37.763542,.25,0,76.120003,4.3323112,165.71001,5.1102395,0135-001,0,-.3008166,3.4177268,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3010210,0,.64999998,.52499998,.42500001,4.6500001,40.474998,1.15,-.30081576,1.75,7.3499999,0,.1,.125,605.25,.57499999,2.8397248,.77777779,.2962963,.43518519,4.95679,43.175926,1.2283951,-.20014155,7.8888888,6.7962961,.057407409,.41358024,.41975307,891.7901,.57716048,0,.70588237,.47058824,.29411766,4.8235292,43.823528,1.1764706,-.30081618,2.5882354,8.9411764,0,0,.05882353,493.52942,.35294119,4.578866,.26364639,4.5747905,.45734128,5.1102395,0,4.3323112,.25,1500.7496,32,25,1143.0583,40,17,921.45221,48.774693,24.370371,3.7188785,5.352941,5.2352943,1,0,0
0289-001,10304012,10304012,Nkhata Bay,rural,6,4,APRIL,2013,0,17,48,200-300,36,520,High-altitude Plains,Severe Constraint,Severe Constraint,-11.8362,34.1621,0,7,69,0,1,1,1,0,0,4,3,39,1,3,0,1,0,0,0,1,0,1,1,MW2012C3020103,201304,0,32,30,859.29468,.72265863,.62937731,4.4592695,4.9808292,1,1,1,THETE,7.6269016,.25,.2,99.434998,4.599504,120.695,4.7932668,0289-001,0,-.30081135,4.2341065,1,0,0,1,0,0,0,0,1,0,0,1,1,MW2012C3020103,0,.80291969,.29197079,.42335767,5.1386862,43.133335,1.1397059,-.24790682,11.620438,8.948905,.037956204,.74452555,.86861312,1067.0073,.61313868,.12358174,.78525639,.30769232,.40064102,5.0929489,44.391026,1.2820513,-.20788564,8.2596149,8.9102564,.035256412,.25320512,.25641027,855.73718,.57371795,0,.47999999,.68000001,.88,6.8400002,41.599998,1.36,.13409947,.72000003,15.04,0,.83999997,.88,651.59998,1.8,4.5107346,.35180861,4.5412683,.30483058,4.7267461,.222,4.5772476,.27714285,859.29468,32,30,1527.7244,58,30,959.49298,49.634617,23.243589,3.7998304,5.0799999,5.7199998,1,0,0
0503-001,10503367,10503367,Mzimba,rural,8,3,APRIL,2013,11,11,12,50-100,28,1530,Mid-altitude Mountains,Severe Constraint,Moderate Constraint,-11.8704,33.6791,13,5,35,0,0,0,0,0,0,1,800,67,1,3,1,0,1,0,1,0,0,1,1,MW2012C3010508,201304,0,51,22,1045.0387,.2331057,.26043364,4.7566829,4.8318224,1,1,1,MZIMBA,5.7677178,0,.40000001,129.39999,4.8629084,172.38,5.1497011,0503-001,0,-.30081591,3.5553482,0,0,1,0,0,0,0,0,1,0,0,1,1,MW2012C3010508,0,.5607143,.52499998,.70357144,5.2785716,45.128571,1.2071428,.11338864,5.0428572,11.314285,.057142857,.86785716,.87857145,1255.8572,1.2928572,.17780566,.79790938,.32752612,.45296168,5.1324043,43.933567,1.2682927,-.18716252,7.8571429,6.5993032,.029268293,.28919861,.34843206,973.41461,.67595822,0,.85714287,.19047619,.66666669,7.1904764,47.095238,1.2380953,-.30081612,9.8095236,10,0,.85714287,.85714287,1511.4286,1.1904762,4.5298309,.35881037,4.5674162,.28576407,5.1193342,.36190477,4.8613195,.03809524,1045.0387,51,22,1193.8994,57,22,986.30182,51.777004,22.564461,3.8448913,4.2857141,5.0952382,1,0,0
0597-001,10509319,10509319,Mzimba,rural,4,9,APRIL,2013,5,5,44,50-100,60,1260,Mid-altitude Plateaus,Severe Constraint,Moderate Constraint,-11.3433,33.6194,0,5,28.5,0,0,0,1,0,0,0,,23,1,2,0,0,1,0,1,0,0,1,0,MW2012C3010517,201304,0,42,22,810.966,.89454025,.55501395,4.96243,4.740325,1,1,1,HEWE,23.396769,1,.60000002,143.59,4.9669619,178.745,5.1859603,0597-001,0,-.30081642,3.3499041,0,0,1,0,0,0,0,0,1,0,0,1,1,MW2012C3010517,0,.71428573,.34693879,.63265306,5.3265305,46,1.2040817,-.22685108,7.2244897,10.67347,.036734696,.93877554,.97959185,1192.8572,.77551019,.18720385,.78947371,.34210527,.5131579,5.2631578,43.907894,1.2763158,-.15775216,8.3421049,5.0131578,.013157895,.23684211,.25,843.1579,.71052629,0,.625,.3125,.6875,5.3125,47.125,1.125,-.30081561,5.25,6.625,0,1,1,1250,1,4.7910576,.47556391,4.6757813,.38787594,5.1187887,.52500004,4.9178119,.875,810.966,42,22,740.91418,38,22,857.5592,51.065788,26.236841,3.6879361,.8125,5.3125,1,0,0
0753-001,10746033,10746033,Mzuzu City,urban,6,46,APRIL,2013,1,14,5,500-1000,45,1310,Mid-altitude Plateaus,Severe Constraint,Moderate Constraint,-11.4608,33.9739,16,7,77,0,1,0,1,0,0,1,1600,38,1,4,0,1,0,0,0,1,0,1,1,MW2012C3010508,201304,0,51,22,1045.0387,.2331057,.26043364,4.7566829,4.8318224,1,1,1,MZIMBA,20.144444,0,.40000001,90.735001,4.5079432,120.71,4.7933908,0753-001,0,-.30081713,4.3438053,1,0,1,0,0,0,0,0,1,0,0,1,1,MW2012C3010508,0,.5607143,.52499998,.70357144,5.2785716,45.128571,1.2071428,.11338864,5.0428572,11.314285,.057142857,.86785716,.87857145,1255.8572,1.2928572,0,.51111114,.66666669,.80000001,4.7111111,41.488888,1.0888889,-.059196781,1.0222223,10.288889,0,.68888891,.68888891,1228.8889,1.2,0,.78947371,.57894737,.68421054,5.6842103,42.36842,1.1052631,-.30081657,2.7368422,12.631579,0,.89473683,.89473683,1256.3158,.78947371,4.6127005,.41380954,4.4829497,.3473016,4.7103705,.23157895,4.5460539,.2857143,1045.0387,51,22,941.21942,7,22,962.11707,40.200001,27.777779,3.7841516,10.842105,5.4210525,1,0,0
0847-001,20113112,20113112,Kasungu,rural,8,13,APRIL,2013,13,8,40,100-200,47,1150,Mid-altitude Mountains,Moderate Constraint,No or Slight Constraint,-12.9685,33.8605,0,6,51.5,0,0,0,0,0,0,0,,39,1,5,0,0,1,0,1,0,0,2,0,MW2012C3020103,201304,0,32,30,859.29468,.72265863,.62937731,4.4592695,4.9808292,1,1,1,CHAMAMA,10.148657,1,.60000002,100,4.6051702,130,4.8675346,0847-001,0,-.30081591,3.9415817,0,1,0,0,0,0,0,1,0,0,0,0,1,MW2012C3020103,0,.80291969,.29197079,.42335767,5.1386862,43.133335,1.1397059,-.24790682,11.620438,8.948905,.037956204,.74452555,.86861312,1067.0073,.61313868,0,.82051283,.25641027,.46153846,4.8461537,44.948719,1.1025641,-.30081636,8.0769234,6.1794872,.11282051,0,.43589744,1153.0769,.58974361,0,.82608694,.17391305,.43478259,5.2173915,38.217392,1.0869565,-.30081621,14.73913,8.782609,0,.17391305,.9130435,1148.2609,.52173913,4.7260656,.72087914,4.6412511,.71135533,4.7965884,.46521741,4.5221543,.73913044,859.29468,32,30,1212.5002,60,30,1052.037,57.743591,22.897436,3.8374259,2.0869565,5.2608695,1,0,0
0877-001,20206362,20206362,Nkhotakota,rural,3,6,APRIL,2013,16,2,44,50-100,12,620,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-13.274,34.1404,12,4,34,0,0,0,0,0,0,0,,66,2,1,1,0,1,0,1,0,0,2,0,MW2012C3020213,201304,0,68,23,1032.0454,.9203406,.56813622,4.6638412,5.1479616,1,1,1,MWANSAMBO,25.506111,1,.60000002,130,4.8675346,165,5.1059456,0877-001,0,-.30081591,3.5263605,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020213,0,.85714287,.19047619,.38095239,4.6190476,37.714287,1.2380953,-.30081671,14.476191,3.9047618,0,0,0,651.42859,.52380955,0,.77076411,.32225913,.39202657,4.8205981,43.164429,1.3076923,-.19244885,13.877076,7.6279068,.032558139,.2857143,.38870433,900.66443,.58803988,0,.89999998,.2,.34999999,4.8000002,36.200001,1.2,-.30081668,14.9,3.7,.030000001,0,0,655,.44999999,4.5456085,.37074038,4.4840188,.45932606,5.0613656,.59000003,4.834549,.94999999,1032.0454,68,23,1153.9323,58,31,894.39532,52.196014,22.528238,3.8953035,2.1500001,5.6500001,1,0,0
1026-003,20407398,20407398,Kasungu,rural,3,11,APRIL,2013,16,10,36,100-200,18,1050,High-altitude Plains,Moderate Constraint,Moderate Constraint,-13.387442,33.393402,0,7,73,0,1,0,1,0,0,1,5000,28,1,1,0,0,1,0,1,0,0,2,1,MW2012C3020403,201304,0,51,12,906.40332,.58889568,.46034396,4.5248299,4.7780924,1,1,1,SANTHE,5.3632894,1,.60000002,100,4.6051702,130,4.8675346,1026-003,0,-.30081713,4.2904596,0,0,1,0,0,0,0,1,0,0,0,1,1,MW2012C3020403,0,.79844964,.24031007,.484375,4.8372092,43.038761,1.1860465,-.16033979,3.1627908,7.8139534,.071317829,.19379845,.20155039,1095.0388,.6640625,2.9002051,.875,.32499999,.375,4.9000001,42.099998,1.125,-.30081627,10.85,6.1999998,.050000001,.44999999,.44999999,853.25,.60000002,0,1,0,.23809524,5.2272725,41.772728,1.2272727,-.3008163,2.4545455,5.181818,.081818186,.045454547,.045454547,1340.4546,.23809524,4.4408822,.92124999,4.5128274,.6785714,4.8508201,.57272732,4.6063814,1,906.40332,51,12,1101.6802,38,29,826.10199,46.200001,22.4,3.8047087,3.090909,5.318182,1,0,0
1091-001,20508349,20508349,Salima,rural,6,8,APRIL,2013,0,12,39,0-50,51,540,High-altitude Plains,Water,Water,-13.4883,34.2614,0,3,24,0,0,0,0,0,0,0,,35,1,4,0,0,1,0,1,0,0,2,0,MW2012C3020513,201304,0,53,30,834.07819,.33114916,.75369853,4.5920486,5.052875,1,2,1,MWANSAMBO,30.839567,1,.60000002,130,4.8675346,165,5.1059456,1091-001,0,-.30081591,3.1780539,0,0,0,0,0,1,0,0,0,0,1,0,0,MW2012C3020513,0,.7368421,.29824561,.47368422,5.0350876,43.070175,1.2807018,-.30081546,2.9824562,7.0350876,.18596491,.070175439,.3508772,595.26318,.7719298,.50433636,.77777779,.30409357,.40350878,5.122807,41.730995,1.2105263,-.21603732,12.48538,8.1169586,.032748539,.15789473,.25146198,679.70758,.53801167,2.1262593,.70833331,.29166666,.58333331,5.2916665,40.458332,1.2083334,-.14980325,1,11,0,.083333336,.083333336,597.91669,.95833331,4.6608477,.24741019,4.5594964,.38479534,4.9224348,.85833335,4.7937026,1,834.07819,53,30,988.75629,58,31,966.46399,44.894737,21.385965,3.6172888,2.25,5.125,0,1,0
1245-002,20607315,20607315,Lilongwe,rural,4,7,APRIL,2013,0,9,18,200-300,35,1230,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,-13.7993,33.8589,11,5,28.5,0,0,0,0,0,0,0,,66,1,2,1,0,1,0,1,0,0,2,0,MW2012C3020603,201304,0,32,13,957.92847,.48215154,.3248713,4.6567535,4.8972287,1,1,1,KASUNGU,2.5754564,.25,1,130,4.8675346,108.42,4.6860127,1245-002,0,-.30081591,3.3499041,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020603,0,.70076728,.44757032,.47058824,4.8030691,42.353848,1.2102565,-.087622568,7.0869565,6.0409207,.12327366,.16112532,.17391305,1134.6036,.84398979,3.505424,.76538461,.34615386,.47490346,5.1999998,43.576923,1.1961539,-.18929943,5.7307692,6.5999999,.10923077,.23076923,.2923077,868.34613,.76061773,0,.66666669,.37037036,.4074074,4.0740743,45.740742,1.1481482,-.30081621,1.037037,8.9629631,.074074075,.074074075,.11111111,1188.1482,.55555558,4.5474133,.57868135,4.5668154,.58615386,4.5698647,.80555558,4.654417,.24444444,957.92847,32,13,1148.1881,6,29,949.68549,45.569229,25.365385,3.6439795,2.8888888,4.9259257,1,0,0
1333-001,20615064,20615064,Lilongwe,rural,11,15,APRIL,2013,23,4,37,200-300,8,1170,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-13.8122,33.5005,17,3,28,0,0,0,1,0,0,2,1600,53,1,4,0,0,1,0,0,1,0,2,1,MW2012C3020603,201304,0,32,13,957.92847,.48215154,.3248713,4.6567535,4.8972287,1,1,1,KASIYA,13.634441,1,.60000002,100,4.6051702,130,4.8675346,1333-001,0,-.30081642,3.3322046,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020603,0,.70076728,.44757032,.47058824,4.8030691,42.353848,1.2102565,-.087622568,7.0869565,6.0409207,.12327366,.16112532,.17391305,1134.6036,.84398979,0,.87272727,.34545454,.27272728,5.4181819,46.01852,1.2777778,-.3008163,15.327272,5.6909089,.018181818,.34545454,.34545454,1134.5454,.4909091,0,.95238096,.2857143,.23809524,5.7142859,47.42857,1.2380953,-.30081627,20.857143,4.1428571,.047619049,.095238097,.14285715,1158.0952,.33333334,4.5731773,.35909092,4.3972497,.49935064,4.7918563,.65714288,4.5665889,.90476191,957.92847,32,13,1127.4247,38,21,914.09711,41.18182,20.50909,3.4990628,8.2857141,4.0952382,1,0,0
1521-001,20807727,20807727,Dedza,rural,4,7,APRIL,2013,3,8,52,50-100,4,520,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-14.3556,34.5793,0,4,37,0,0,0,1,0,0,0,,25,1,2,0,0,1,0,1,0,0,2,0,MW2012C3020913,201304,0,53,30,978.68469,.69095749,.56504542,4.3794284,4.9907513,1,2,1,MWANSAMBO,22.99766,1,.60000002,102.45,4.629375,178.16,5.182682,1521-001,0,-.30081642,3.6109178,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020913,0,.75539571,.31654677,.45323741,5.1007195,41.963505,1.2554744,-.092223831,3.8633094,4.8776979,.038848922,.37410071,.38129497,806.90649,.73381293,3.505424,.76538461,.34615386,.47490346,5.1999998,43.576923,1.1961539,-.18929943,5.7307692,6.5999999,.10923077,.23076923,.2923077,868.34613,.76061773,0,1,0,.31818181,5.4545455,37.590908,1.0909091,-.30081624,1.5454545,7.3636365,.027272729,0,0,525,.31818181,4.5474133,.57868135,4.5668154,.58615386,4.79842,.83636367,4.5410171,1,978.68469,53,30,890.99609,37,28,949.68549,45.569229,25.365385,3.4933577,7.0454545,4.590909,0,1,0
1496-001,20808421,20808421,Dedza,rural,5,8,APRIL,2013,7,4,59,100-200,35,1480,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,-14.3487,34.404,0,7,62,0,1,0,1,0,0,0,,75,1,1,2,1,0,0,0,1,0,2,0,MW2012C3020803,201304,0,33,24,1014.7139,.19046125,.14984854,4.660953,4.7006345,1,1,1,BEMBEKE_TURNOFF,7.0981588,0,0,110,4.7004805,100,4.6051702,1496-001,0,-.30081713,4.1271343,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020803,0,.8561644,.2739726,.31506848,4.8835616,44.513699,1.2465754,-.17669667,12.609589,5.0547943,.024657534,.11643836,.13013698,1305.8219,.46575344,.50433636,.77777779,.30409357,.40350878,5.122807,41.730995,1.2105263,-.21603732,12.48538,8.1169586,.032748539,.15789473,.25146198,679.70758,.53801167,0,.95238096,.19047619,.2857143,4.3809524,39.904762,1.1428572,-.30081642,7.0952382,3.6666667,0,0,0,1485.238,.2857143,4.6608477,.24741019,4.5594964,.38479534,4.6959419,0,4.397191,.23809524,1014.7139,33,24,1173.3337,37,28,966.46399,44.894737,21.385965,3.6403515,3.3809524,5.1904764,1,0,0
1621-001,20908088,20908088,Ntcheu,rural,6,8,APRIL,2013,0,1,25,100-200,43,620,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-14.6361,34.7323,0,4,30,0,0,0,0,0,0,0,,32,1,4,0,1,0,0,1,0,0,2,0,MW2012C3020913,201304,0,53,30,978.68469,.69095749,.56504542,4.3794284,4.9907513,1,2,1,MTAKATAKA,3.6274948,0,0,90.449997,4.504797,110,4.7004805,1621-001,0,-.30081591,3.4011974,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020913,0,.75539571,.31654677,.45323741,5.1007195,41.963505,1.2554744,-.092223831,3.8633094,4.8776979,.038848922,.37410071,.38129497,806.90649,.73381293,.50433636,.77777779,.30409357,.40350878,5.122807,41.730995,1.2105263,-.21603732,12.48538,8.1169586,.032748539,.15789473,.25146198,679.70758,.53801167,4.7911954,.5,.5,.66666669,5.4444447,44.333332,1.2222222,.10188302,.83333331,1.8333334,.055555556,.055555556,.055555556,608.88892,1.1111112,4.6608477,.24741019,4.5594964,.38479534,4.6062865,.055555556,4.4815135,.083333336,978.68469,53,30,957.00024,58,27,966.46399,44.894737,21.385965,3.6665723,2.2222223,5.3888888,0,1,0
1604-001,20909113,20909113,Ntcheu,rural,8,9,APRIL,2013,1,1,43,200-300,57,550,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-14.4136,34.6106,0,6,55,1,1,0,0,0,0,0,,34,1,6,0,1,0,0,0,1,0,2,0,MW2012C3020913,201304,0,53,30,978.68469,.69095749,.56504542,4.3794284,4.9907513,1,2,1,LIZULU,20.458294,.25,.2,100.03,4.6054702,116.415,4.7571616,1604-001,0,3.3234656,4.0073333,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020913,0,.75539571,.31654677,.45323741,5.1007195,41.963505,1.2554744,-.092223831,3.8633094,4.8776979,.038848922,.37410071,.38129497,806.90649,.73381293,.18720385,.78947371,.34210527,.5131579,5.2631578,43.907894,1.2763158,-.15775216,8.3421049,5.0131578,.013157895,.23684211,.25,843.1579,.71052629,0,.76190478,.2857143,.42857143,5.6666665,43.450001,1.2,.044354238,3.1428571,2.1904762,.047619049,0,0,620.4762,.66666669,4.7910576,.47556391,4.6757813,.38787594,4.6979165,.2829932,4.6023188,.38027212,978.68469,53,30,845.22534,37,28,857.5592,51.065788,26.236841,3.84376,3.8571429,5.7142859,0,1,0
1717-002,21052427,21052427,Lilongwe City,urban,4,52,APRIL,2013,1,3,4,>5000,0,1050,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,-14.0063,33.8022,9,6,64,0,0,0,0,0,0,1,500,31,2,3,0,1,0,0,1,0,0,2,1,MW2012C3020619,201304,0,33,13,906.65155,.25466055,.20372844,4.8675346,5.1038122,1,,1,LILONGWE,7.5011034,.25,.2,130,4.8675346,165,5.1059456,1717-002,0,-.30081591,4.1588831,0,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020619,0,.26838234,.80882353,.81985295,5.0955882,40.694855,1.2205882,.56528324,3.1727941,5.5036764,.027941177,.044117648,.047794119,1046.6912,2.0110295,.9915148,.075000003,.94999999,.94999999,4.625,42.799999,1.275,1.5113295,1.475,4.3000002,.015000001,0,0,1076.25,2.7,0,.25,.89285713,.78571427,5.0714288,41.357143,1.25,.47581911,2.9642856,4.6428571,.021428572,.071428575,.071428575,1090,1.9642857,4.8156471,.175,4.7364411,.41017857,4.9650264,.31071427,4.8253803,.38928571,906.65155,33,13,1142.171,37,26,963.65698,43.25,27.049999,4.0433965,4.1428571,6.25,,,
1897-001,21087531,21087531,Lilongwe City,urban,2,87,APRIL,2013,5,5,7,>5000,0,1080,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,-14.011,33.7281,0,7,48,0,0,0,0,0,0,0,,34,2,1,0,1,0,0,0,1,0,2,0,MW2012C3020619,201304,0,33,13,906.65155,.25466055,.20372844,4.8675346,5.1038122,1,,1,CHIRADZULU,13.933031,1,.60000002,130,4.8675346,165,5.1059456,1897-001,0,-.30081591,3.871201,1,1,0,0,0,0,1,0,0,0,0,0,0,MW2012C3020619,0,.26838234,.80882353,.81985295,5.0955882,40.694855,1.2205882,.56528324,3.1727941,5.5036764,.027941177,.044117648,.047794119,1046.6912,2.0110295,0,.13333334,.93333334,.73333335,7,43.400002,1.2,.90728062,4.5999999,5.2666669,0,0,0,1084.6666,1.6,0,.22222222,.8888889,.72222221,6.5555553,41.611111,1.2777778,.70593119,4.6666665,5.1666665,0,0,0,1127.2222,1.5,5.1059456,.60000002,4.8675346,1,5.0393615,.51111114,4.8436794,.83333331,906.65155,33,13,1138.8291,37,21,1138.8291,37,21,3.8813615,6,6,,,
1935-001,30101280,30101280,Mangochi,rural,8,1,APRIL,2013,7,10,9,100-200,14,490,Mid-altitude Plains,Water,Water,-14.4265,35.2576,0,5,58.5,0,0,0,0,0,0,0,,61,1,3,0,1,0,0,0,1,0,3,0,MW2012C3030115,201304,0,32,18,862.97394,.16874571,.49106482,4.4738255,4.8198533,1,1,1,MTAKATAKA,15.947396,0,0,91.004997,4.5109143,102.39,4.6287889,1935-001,1,-.30081591,4.0690269,1,0,0,0,0,1,0,0,0,0,1,0,0,MW2012C3030115,0,.77941179,.2647059,.36764705,4.7058825,42.161766,1.3235294,-.24751773,18.441177,9.9852943,.05882353,.088235296,.32352942,557.35297,.44117647,2.7327812,.76383764,.37453875,.42250922,5.119926,44.123844,1.2717191,-.1871393,9.6162357,9.5313654,.059040591,.2804428,.32472324,834.92621,.62546128,1.3834438,.68181819,.31818181,.31818181,4.7727275,43.090908,1.2727273,-.30081618,5.5,9.909091,.18181819,.045454547,.045454547,510.45456,.36363637,4.5680475,.36564311,4.5824924,.39028731,4.575069,.036363635,4.4944153,.125,862.97394,32,18,846.05005,79,17,918.86896,53.638378,24.123617,3.7008128,1.1363636,5.181818,1,0,0
2021-001,30105325,30105325,Mangochi,rural,6,5,APRIL,2013,13,18,19,100-200,45,800,High-altitude Plains,Moderate Constraint,Moderate Constraint,-14.4912,35.6063,1,4,23,0,1,0,1,0,0,0,,68,1,3,1,0,1,0,1,0,0,3,0,MW2012C3030114,201304,0,53,23,1019.7313,.013502391,.30664203,4.4916468,4.7955561,1,2,1,NAMWERA,6.6684799,1,1,87.605003,4.4728379,124.51,4.8243861,2021-001,0,-.30081713,3.1354942,0,0,1,0,0,0,0,1,0,0,0,1,1,MW2012C3030114,0,.80821919,.28767124,.3561644,5.0547943,44.082191,1.369863,-.25116825,13.643836,14.602739,.084931508,.84931505,.87671232,923.42468,.43835616,0,.77230769,.31999999,.47076923,4.9446154,43.316921,1.2276924,-.25620943,8.913846,11.406154,.025230769,.42153847,.47692308,947.35382,.70153844,0,.55000001,.5,.44999999,5.0500002,40.900002,1.4,-.11960144,16.1,15.3,0,.69999999,.80000001,782.5,.69999999,4.5620041,.41797802,4.5692329,.56050551,4.772984,1,4.488626,.99000001,1019.7313,53,23,1107.6853,59,19,940.22516,49.455383,24.775385,3.7441485,4.1999998,4.8499999,0,1,0
2049-001,30108401,30108401,Mangochi,rural,2,8,APRIL,2013,40,17,72,100-200,41,480,Platform(very low plateaus),Moderate Constraint,No or Slight Constraint,-13.8451,35.1065,0,5,37.5,0,1,0,1,0,0,1,300,61,1,0,0,0,1,0,1,0,0,3,1,MW2012C3030115,201304,0,32,18,862.97394,.16874571,.49106482,4.4738255,4.8198533,1,1,1,MONKEY BAY,44.21347,.25,.60000002,90.449997,4.504797,110,4.7004805,2049-001,0,-.30081713,3.624341,0,1,0,0,0,0,0,1,0,0,0,0,1,MW2012C3030115,0,.77941179,.2647059,.36764705,4.7058825,42.161766,1.3235294,-.24751773,18.441177,9.9852943,.05882353,.088235296,.32352942,557.35297,.44117647,.50433636,.77777779,.30409357,.40350878,5.122807,41.730995,1.2105263,-.21603732,12.48538,8.1169586,.032748539,.15789473,.25146198,679.70758,.53801167,0,.80000001,.2,.30000001,4.3000002,42.799999,1.2,-.11960177,37.25,14.55,0,.050000001,.85000002,548,.44999999,4.6608477,.24741019,4.5594964,.38479534,4.6822624,.55250001,4.503181,.2775,862.97394,32,18,1090.1501,38,17,966.46399,44.894737,21.385965,3.6215286,3.25,4.6500001,1,0,0
